Entrada Aceitavel!
Grafo com 81 vertices e 810 arestas
 0 20
 0 19
 0 11
 0 10
 0 8
 0 7
 0 6
 0 5
 0 4
 0 3
 0 2
 0 1
 0 72
 0 63
 0 54
 0 45
 0 36
 0 27
 0 18
 0 9

 1 20
 1 18
 1 11
 1 9
 1 8
 1 7
 1 6
 1 5
 1 4
 1 3
 1 2
 1 73
 1 64
 1 55
 1 46
 1 37
 1 28
 1 19
 1 10
 1 0

 2 19
 2 18
 2 10
 2 9
 2 8
 2 7
 2 6
 2 5
 2 4
 2 3
 2 74
 2 65
 2 56
 2 47
 2 38
 2 29
 2 20
 2 11
 2 1
 2 0

 3 23
 3 22
 3 14
 3 13
 3 8
 3 7
 3 6
 3 5
 3 4
 3 75
 3 66
 3 57
 3 48
 3 39
 3 30
 3 21
 3 12
 3 2
 3 1
 3 0

 4 23
 4 21
 4 14
 4 12
 4 8
 4 7
 4 6
 4 5
 4 76
 4 67
 4 58
 4 49
 4 40
 4 31
 4 22
 4 13
 4 3
 4 2
 4 1
 4 0

 5 22
 5 21
 5 13
 5 12
 5 8
 5 7
 5 6
 5 77
 5 68
 5 59
 5 50
 5 41
 5 32
 5 23
 5 14
 5 4
 5 3
 5 2
 5 1
 5 0

 6 26
 6 25
 6 17
 6 16
 6 8
 6 7
 6 78
 6 69
 6 60
 6 51
 6 42
 6 33
 6 24
 6 15
 6 5
 6 4
 6 3
 6 2
 6 1
 6 0

 7 26
 7 24
 7 17
 7 15
 7 8
 7 79
 7 70
 7 61
 7 52
 7 43
 7 34
 7 25
 7 16
 7 6
 7 5
 7 4
 7 3
 7 2
 7 1
 7 0

 8 25
 8 24
 8 16
 8 15
 8 80
 8 71
 8 62
 8 53
 8 44
 8 35
 8 26
 8 17
 8 7
 8 6
 8 5
 8 4
 8 3
 8 2
 8 1
 8 0

 9 20
 9 19
 9 2
 9 1
 9 17
 9 16
 9 15
 9 14
 9 13
 9 12
 9 11
 9 10
 9 72
 9 63
 9 54
 9 45
 9 36
 9 27
 9 18
 9 0

 10 20
 10 18
 10 2
 10 0
 10 17
 10 16
 10 15
 10 14
 10 13
 10 12
 10 11
 10 73
 10 64
 10 55
 10 46
 10 37
 10 28
 10 19
 10 9
 10 1

 11 19
 11 18
 11 1
 11 0
 11 17
 11 16
 11 15
 11 14
 11 13
 11 12
 11 74
 11 65
 11 56
 11 47
 11 38
 11 29
 11 20
 11 10
 11 9
 11 2

 12 23
 12 22
 12 5
 12 4
 12 17
 12 16
 12 15
 12 14
 12 13
 12 75
 12 66
 12 57
 12 48
 12 39
 12 30
 12 21
 12 11
 12 10
 12 9
 12 3

 13 23
 13 21
 13 5
 13 3
 13 17
 13 16
 13 15
 13 14
 13 76
 13 67
 13 58
 13 49
 13 40
 13 31
 13 22
 13 12
 13 11
 13 10
 13 9
 13 4

 14 22
 14 21
 14 4
 14 3
 14 17
 14 16
 14 15
 14 77
 14 68
 14 59
 14 50
 14 41
 14 32
 14 23
 14 13
 14 12
 14 11
 14 10
 14 9
 14 5

 15 26
 15 25
 15 8
 15 7
 15 17
 15 16
 15 78
 15 69
 15 60
 15 51
 15 42
 15 33
 15 24
 15 14
 15 13
 15 12
 15 11
 15 10
 15 9
 15 6

 16 26
 16 24
 16 8
 16 6
 16 17
 16 79
 16 70
 16 61
 16 52
 16 43
 16 34
 16 25
 16 15
 16 14
 16 13
 16 12
 16 11
 16 10
 16 9
 16 7

 17 25
 17 24
 17 7
 17 6
 17 80
 17 71
 17 62
 17 53
 17 44
 17 35
 17 26
 17 16
 17 15
 17 14
 17 13
 17 12
 17 11
 17 10
 17 9
 17 8

 18 11
 18 10
 18 2
 18 1
 18 26
 18 25
 18 24
 18 23
 18 22
 18 21
 18 20
 18 19
 18 72
 18 63
 18 54
 18 45
 18 36
 18 27
 18 9
 18 0

 19 11
 19 9
 19 2
 19 0
 19 26
 19 25
 19 24
 19 23
 19 22
 19 21
 19 20
 19 73
 19 64
 19 55
 19 46
